op,size,threads,trial,time
mm,64,1,0,0.003
mm,64,1,1,0.003
mm,64,1,2,0.003
mm,64,1,3,0.002
mm,64,1,4,0.002
mm,64,1,5,0.002
mm,64,1,6,0.002
mm,64,1,7,0.002
mm,64,1,8,0.002
mm,64,1,9,0.002
mm,64,1,10,0.002
mm,64,1,11,0.002
mm,64,1,12,0.002
mm,64,1,13,0.002
mm,64,1,14,0.002
mm,64,1,15,0.002
mm,64,1,16,0.002
mm,64,1,17,0.002
mm,64,1,18,0.002
mm,64,1,19,0.002
mm,64,1,20,0.002
mm,64,1,21,0.002
mm,64,1,22,0.002
mm,64,1,23,0.002
mm,64,1,24,0.002
mm,64,1,25,0.002
mm,64,1,26,0.002
mm,64,1,27,0.002
mm,64,1,28,0.002
mm,64,1,29,0.002
mm,64,1,30,0.002
mm,64,1,31,0.002
mm,64,1,32,0.003
mm,64,1,33,0.002
mm,64,1,34,0.002
mm,64,1,35,0.002
mm,64,1,36,0.002
mm,64,1,37,0.002
mm,64,1,38,0.002
mm,64,1,39,0.002
mm,64,1,40,0.002
mm,64,1,41,0.002
mm,64,1,42,0.002
mm,64,1,43,0.002
mm,64,1,44,0.002
mm,64,1,45,0.002
mm,64,1,46,0.002
mm,64,1,47,0.002
mm,64,1,48,0.002
mm,64,1,49,0.002
mm,64,1,50,0.002
mm,64,1,51,0.003
mm,64,1,52,0.002
mm,64,1,53,0.002
mm,64,1,54,0.002
mm,64,1,55,0.002
mm,64,1,56,0.002
mm,64,1,57,0.002
mm,64,1,58,0.002
mm,64,1,59,0.002
mm,64,1,60,0.002
mm,64,1,61,0.002
mm,64,1,62,0.002
mm,64,1,63,0.002
mm,64,1,64,0.003
mm,64,1,65,0.003
mm,64,1,66,0.002
mm,64,1,67,0.002
mm,64,1,68,0.002
mm,64,1,69,0.002
mm,64,1,70,0.002
mm,64,1,71,0.003
mm,64,1,72,0.002
mm,64,1,73,0.002
mm,64,1,74,0.003
mm,64,1,75,0.002
mm,64,1,76,0.002
mm,64,1,77,0.003
mm,64,1,78,0.003
mm,64,1,79,0.002
mm,64,1,80,0.003
mm,64,1,81,0.003
mm,64,1,82,0.003
mm,64,1,83,0.002
mm,64,1,84,0.002
mm,64,1,85,0.002
mm,64,1,86,0.002
mm,64,1,87,0.002
mm,64,1,88,0.002
mm,64,1,89,0.002
mm,64,1,90,0.002
mm,64,1,91,0.002
mm,64,1,92,0.002
mm,64,1,93,0.002
mm,64,1,94,0.002
mm,64,1,95,0.002
mm,64,1,96,0.002
mm,64,1,97,0.002
mm,64,1,98,0.002
mm,64,1,99,0.002
mm,64,2,0,0.002
mm,64,2,1,0.002
mm,64,2,2,0.002
mm,64,2,3,0.002
mm,64,2,4,0.002
mm,64,2,5,0.002
mm,64,2,6,0.002
mm,64,2,7,0.002
mm,64,2,8,0.002
mm,64,2,9,0.002
mm,64,2,10,0.002
mm,64,2,11,0.001
mm,64,2,12,0.002
mm,64,2,13,0.001
mm,64,2,14,0.002
mm,64,2,15,0.002
mm,64,2,16,0.002
mm,64,2,17,0.002
mm,64,2,18,0.002
mm,64,2,19,0.001
mm,64,2,20,0.001
mm,64,2,21,0.002
mm,64,2,22,0.002
mm,64,2,23,0.002
mm,64,2,24,0.002
mm,64,2,25,0.002
mm,64,2,26,0.001
mm,64,2,27,0.002
mm,64,2,28,0.001
mm,64,2,29,0.001
mm,64,2,30,0.002
mm,64,2,31,0.002
mm,64,2,32,0.002
mm,64,2,33,0.002
mm,64,2,34,0.002
mm,64,2,35,0.001
mm,64,2,36,0.002
mm,64,2,37,0.002
mm,64,2,38,0.002
mm,64,2,39,0.002
mm,64,2,40,0.002
mm,64,2,41,0.001
mm,64,2,42,0.002
mm,64,2,43,0.002
mm,64,2,44,0.001
mm,64,2,45,0.002
mm,64,2,46,0.002
mm,64,2,47,0.002
mm,64,2,48,0.002
mm,64,2,49,0.002
mm,64,2,50,0.002
mm,64,2,51,0.001
mm,64,2,52,0.002
mm,64,2,53,0.002
mm,64,2,54,0.002
mm,64,2,55,0.002
mm,64,2,56,0.002
mm,64,2,57,0.002
mm,64,2,58,0.002
mm,64,2,59,0.002
mm,64,2,60,0.001
mm,64,2,61,0.002
mm,64,2,62,0.002
mm,64,2,63,0.001
mm,64,2,64,0.002
mm,64,2,65,0.002
mm,64,2,66,0.002
mm,64,2,67,0.002
mm,64,2,68,0.002
mm,64,2,69,0.002
mm,64,2,70,0.002
mm,64,2,71,0.001
mm,64,2,72,0.002
mm,64,2,73,0.001
mm,64,2,74,0.002
mm,64,2,75,0.001
mm,64,2,76,0.002
mm,64,2,77,0.002
mm,64,2,78,0.002
mm,64,2,79,0.001
mm,64,2,80,0.002
mm,64,2,81,0.002
mm,64,2,82,0.002
mm,64,2,83,0.002
mm,64,2,84,0.002
mm,64,2,85,0.002
mm,64,2,86,0.002
mm,64,2,87,0.001
mm,64,2,88,0.002
mm,64,2,89,0.002
mm,64,2,90,0.002
mm,64,2,91,0.002
mm,64,2,92,0.001
mm,64,2,93,0.002
mm,64,2,94,0.002
mm,64,2,95,0.001
mm,64,2,96,0.002
mm,64,2,97,0.002
mm,64,2,98,0.002
mm,64,2,99,0.002
mm,64,4,0,0.002
mm,64,4,1,0.001
mm,64,4,2,0.001
mm,64,4,3,0.002
mm,64,4,4,0.002
mm,64,4,5,0.002
mm,64,4,6,0.001
mm,64,4,7,0.001
mm,64,4,8,0.001
mm,64,4,9,0.002
mm,64,4,10,0.001
mm,64,4,11,0.001
mm,64,4,12,0.001
mm,64,4,13,0.001
mm,64,4,14,0.001
mm,64,4,15,0.001
mm,64,4,16,0.001
mm,64,4,17,0.002
mm,64,4,18,0.002
mm,64,4,19,0.002
mm,64,4,20,0.002
mm,64,4,21,0.002
mm,64,4,22,0.001
mm,64,4,23,0.002
mm,64,4,24,0.001
mm,64,4,25,0.002
mm,64,4,26,0.001
mm,64,4,27,0.002
mm,64,4,28,0.002
mm,64,4,29,0.002
mm,64,4,30,0.001
mm,64,4,31,0.002
mm,64,4,32,0.001
mm,64,4,33,0.001
mm,64,4,34,0.001
mm,64,4,35,0.001
mm,64,4,36,0.002
mm,64,4,37,0.002
mm,64,4,38,0.001
mm,64,4,39,0.001
mm,64,4,40,0.001
mm,64,4,41,0.001
mm,64,4,42,0.002
mm,64,4,43,0.001
mm,64,4,44,0.001
mm,64,4,45,0.001
mm,64,4,46,0.001
mm,64,4,47,0.001
mm,64,4,48,0.001
mm,64,4,49,0.002
mm,64,4,50,0.002
mm,64,4,51,0.001
mm,64,4,52,0.001
mm,64,4,53,0.001
mm,64,4,54,0.002
